NAME	GENE	SCORE	X	Y	ATAN2	cluster
YLR465C	YLR465C	1.528	0.945	-0.32	-0.326504877	M/G1
YLR194C	YLR194C	3.997	0.943	-0.33	-0.336627583	M/G1
YBL064C	YBL064C	1.895	0.939	-0.34	-0.347402196	M/G1
YIL114C	POR2	1.509	0.929	-0.37	-0.37902077	M/G1
YNL326C	YNL326C	1.35	0.926	-0.37	-0.380133938	M/G1
YNR044W	AGA1	3.251	0.925	-0.37	-0.380506377	M/G1
YNL328C	MDJ2	2.219	0.925	-0.37	-0.380506377	M/G1
YDL169C	UGX2	1.652	0.914	-0.4	-0.412525226	M/G1
YBR273C	YBR273C	1.625	0.914	-0.4	-0.412525226	M/G1
YLR463C	YLR463C	3.808	0.909	-0.41	-0.423722696	M/G1
YER111C	SWI4	3.239	0.899	-0.43	-0.446144908	M/G1
YLR466W	YLR466W	3.096	0.896	-0.44	-0.456479273	M/G1
YGL090W	YGL090W	1.933	0.888	-0.46	-0.477957902	M/G1
YBL061C	SKT5	2.287	0.884	-0.46	-0.479804192	M/G1
YBR204C	YBR204C	1.63	0.884	-0.46	-0.479804192	M/G1
YKL182W	FAS1	1.377	0.881	-0.47	-0.490075147	M/G1
YHR094C	HXT1	1.863	0.878	-0.47	-0.49149306	M/G1
YHR219W	YHR219W	2.481	0.877	-0.47	-0.491967374	M/G1
YJL225C	YJL225C	3.694	0.876	-0.48	-0.501264265	M/G1
YJR004C	SAG1	3.383	0.871	-0.49	-0.512443968	M/G1
YCL040W	GLK1	1.789	0.87	-0.49	-0.512935014	M/G1
YCL027W	FUS1	1.71	0.867	-0.49	-0.514413306	M/G1
YPR204W	YPR204W	3.184	0.862	-0.5	-0.525618516	M/G1
YOR270C	VPH1	1.336	0.861	-0.5	-0.526122456	G1
YLR467W	YLR467W	4.062	0.859	-0.51	-0.53578434	G1
YER189W	YER189W	3.922	0.858	-0.51	-0.536295812	G1
YLL067C	YLL067C	3.423	0.858	-0.51	-0.536295812	G1
YEL076C	YEL076C	4.076	0.855	-0.51	-0.537835527	G1
YDR309C	YDR309C	4.287	0.854	-0.52	-0.546937418	G1
YEL075C	YEL075C	4.2	0.85	-0.52	-0.54902514	G1
YHL050C	YHL050C	3.155	0.848	-0.52	-0.550074373	G1
YLR464W	YLR464W	3.986	0.843	-0.53	-0.561260582	G1
YBL111C	YBL111C	3.98	0.84	-0.54	-0.57133748	G1
YJL015C	YJL015C	1.363	0.835	-0.55	-0.58245481	G1
YHR067W	YHR067W	1.386	0.831	-0.55	-0.584662789	G1
YOR308C	YOR308C	4.945	0.831	-0.55	-0.584662789	G1
YBL113C	YBL113C	3.692	0.826	-0.56	-0.595784548	G1
YLR049C	YLR049C	8.653	0.825	-0.56	-0.596347333	G1
YHL049C	YHL049C	4.874	0.824	-0.56	-0.596911054	G1
YEL077C	YEL077C	4.545	0.821	-0.56	-0.598607844	G1
YFL064C	YFL064C	4.465	0.821	-0.57	-0.606873524	G1
YOL094C	RFC4	1.357	0.813	-0.58	-0.619667482	G1
YHR218W	YHR218W	4.986	0.809	-0.58	-0.622001207	G1
YLR032W	RAD5	1.528	0.808	-0.58	-0.622587023	G1
YNL339C	YNL339C	3.448	0.799	-0.6	-0.644101589	G1
YLL066C	YLL066C	3.717	0.798	-0.6	-0.644703031	G1
YBL112C	YBL112C	3.112	0.796	-0.6	-0.645908809	G1
YPR203W	YPR203W	3.364	0.795	-0.6	-0.646513148	G1
YLR462W	YLR462W	4.48	0.787	-0.61	-0.659369604	G1
YHR113W	YHR113W	1.76	0.785	-0.61	-0.660602057	G1
YDL127W	PCL2	6.332	0.779	-0.62	-0.672231144	G1
YML100W	TSL1	1.464	0.778	-0.62	-0.672857114	G1
YOR307C	SLY41	4.219	0.768	-0.63	-0.687004478	G1
YGL028C	YGL028C	10.82	0.768	-0.63	-0.687004478	G1
YER190W	YER190W	4.419	0.768	-0.64	-0.694738276	G1
YML133C	YML133C	2.287	0.762	-0.64	-0.698598267	G1
